03:32:56 exp:125.36/29.42/31, hash:125.38/29.44/100.0%, now:125.38/29.44/100.0%/  0.0%/27, V:1252, P:3676+0.0%, L:0.00%/0.000, T:71.2/73.3/7.5, d:8
03:33:16 exp:125.36/29.42/31, hash:125.01/29.50/ 99.7%, now:124.66/29.58/ 99.4%/  0.0%/29, V:1252, P:3679+0.0%, L:0.00%/0.000, T:71.4/73.6/7.0, d:8
03:33:36 exp:125.36/29.42/31, hash:124.97/29.50/ 99.7%, now:124.89/29.52/ 99.6%/  0.0%/30, V:1252, P:3679+0.0%, L:0.00%/0.000, T:71.4/73.6/7.0, d:8
03:33:56 exp:125.36/29.42/31, hash:124.94/29.55/ 99.7%, now:124.85/29.53/ 99.6%/  0.0%/30, V:1254, P:3678+0.0%, L:0.00%/0.000, T:71.2/73.5/7.0, d:8
03:34:16 exp:125.36/29.42/31, hash:124.94/29.55/ 99.7%, now:124.94/29.54/ 99.7%/  0.0%/28, V:1254, P:3685+0.0%, L:0.00%/0.000, T:71.1/73.2/7.0, d:8
03:34:36 exp:125.36/29.42/31, hash:124.89/29.60/ 99.6%, now:124.63/29.64/ 99.4%/  0.0%/30, V:1254, P:3690+0.0%, L:0.00%/0.000, T:71.4/73.9/7.5, d:8
03:34:56 exp:125.36/29.42/31, hash:125.00/29.58/ 99.7%, now:125.65/29.44/100.2%/  0.0%/32, V:1254, P:3698+0.0%, L:0.00%/0.000, T:71.5/74.3/7.5, d:8
his:99.6%/29.55/1252, now:100.0%/29.55/1254, add:0.42/0.01/0.38
03:35:16 exp:125.36/29.42/31, hash:125.09/29.55/ 99.8%, now:125.70/29.46/100.3%/  0.0%/32, V:1254, P:3694+0.0%, L:0.00%/0.000, T:71.2/74.0/8.0, d:8
03:35:36 exp:125.36/29.42/31, hash:125.00/29.58/ 99.7%, now:124.34/29.79/ 99.2%/  0.0%/30, V:1256, P:3687+0.0%, L:0.00%/0.000, T:70.9/73.2/7.5, d:8
03:35:56 exp:125.36/29.42/31, hash:125.07/29.59/ 99.8%, now:125.71/29.48/100.3%/  0.0%/30, V:1256, P:3702+0.0%, L:0.00%/0.000, T:71.1/73.6/7.5, d:8
03:36:16 exp:125.36/29.42/31, hash:125.05/29.67/ 99.8%, now:124.78/29.71/ 99.5%/  0.0%/30, V:1256, P:3702+0.0%, L:0.00%/0.000, T:71.0/73.6/7.5, d:8
03:36:36 exp:125.36/29.42/31, hash:125.06/29.64/ 99.8%, now:125.21/29.64/ 99.9%/  0.0%/30, V:1256, P:3706+0.0%, L:0.00%/0.000, T:71.2/73.8/7.5, d:8
his:99.9%/29.58/1254, now:99.7%/29.70/1256, add:-0.16/0.39/-1.31
