%
0437 C0  , F:553, V:337, T: 53.0, 101.2%
0437 C1  , F:642, V:334, T: 60.0, 101.5%
0437 C2  , F:615, V:334, T: 62.5,  99.2%
0437 C3  , F:610, V:333, T: 59.5, 101.9%
0437 C4  , F:639, V:334, T: 61.0,  95.3%
0437 C5  , F:611, V:335, T: 56.5,  96.8%
0437 C6  , F:608, V:333, T: 59.0, 100.0%
0437 C7  , F:615, V:333, T: 62.0,  96.8%
0437 C8  , F:608, V:335, T: 60.0,  98.0%
0437 C9  , F:602, V:331, T: 60.5,  95.0%
0437 C10 , F:613, V:332, T: 61.5,  94.5%
0437 C11 , F:609, V:335, T: 60.5, 101.4%
0437 C12 , F:615, V:336, T: 63.0,  99.5%
0437 C13 , F:586, V:336, T: 64.0,  99.5%
0437 C14 , F:606, V:335, T: 62.5, 100.6%
0437 C15 , F:601, V:330, T: 65.0, 100.2%
0437 C16 , F:591, V:331, T: 64.5,  96.1%
0437 C17 , F:639, V:329, T: 66.0, 102.3%
0437 C18 , F:600, V:332, T: 67.5, 102.7%
0437 C19 , F:582, V:331, T: 67.0, 103.6%
0437 C20 , F:609, V:331, T: 67.0,  96.4%
0437 C21 , F:617, V:325, T: 69.0,  95.7%
0437 C22 , F:599, V:326, T: 70.0, 101.3%
0437 C23 , F:601, V:327, T: 70.5,  97.0%
0437 C24 , F:605, V:326, T: 71.5,  95.3%
0437 C25 , F:586, V:324, T: 72.0,  99.6%
0437 C26 , F:608, V:324, T: 71.0,  93.3%
0437 C27 , F:591, V:324, T: 71.5,  93.5%
0437 C28 , F:603, V:325, T: 73.5,  98.6%
0437 C29 , F:603, V:326, T: 74.0, 103.1%
0437 C30 , F:624, V:322, T: 75.0,  98.1%
0437 C31 , F:599, V:322, T: 75.0,  98.0%
0437 C32 , F:593, V:324, T: 75.0,  95.2%
0437 C33 , F:576, V:318, T: 74.5, 101.6%
0437 C34 , F:610, V:318, T: 77.5,  96.8%
0437 C35 , F:600, V:322, T: 77.0,  95.5%
0437 C36 , F:590, V:322, T: 78.5, 102.4%
0437 C37 , F:593, V:323, T: 79.5, 102.0%
0437 C38 , F:611, V:322, T: 78.0,  98.1%
0437 C39 , F:598, V:321, T: 79.5, 102.1%
0437 C40 , F:605, V:322, T: 79.5, 103.1%
0437 C41 , F:587, V:322, T: 80.0, 101.1%
0437 C42 , F:598, V:318, T: 80.0, 103.2%
0437 C43 , F:606, V:318, T: 81.0,  97.5%
0437 C44 , F:588, V:319, T: 79.5, 103.4%
0437 C45 , F:600, V:317, T: 81.0, 102.2%
0437 C46 , F:599, V:318, T: 81.0,  90.8%
0437 C47 , F:591, V:321, T: 82.0,  92.6%
0437 C48 , F:598, V:318, T: 82.0,  99.1%
0437 C49 , F:600, V:318, T: 83.5,  98.7%
0437 C50 , F:594, V:319, T: 83.0, 100.7%
0437 C51 , F:598, V:315, T: 83.5, 100.5%
0437 C52 , F:590, V:316, T: 83.5, 100.4%
0437 C53 , F:589, V:318, T: 84.0,  99.5%
0437 C54 , F:612, V:318, T: 88.5, 103.1%
0437 C55 , F:591, V:314, T: 85.0, 101.8%
0437 C56 , F:580, V:311, T: 85.5,  98.0%
0437 C57 , F:559, V:319, T: 81.5, 100.7%
0437 C58 , F:612, V:318, T: 84.5,  99.8%
0437 C59 , F:621, V:329, T: 85.5, 102.4%
0437 C60 , F:588, V:319, T: 84.5,  98.1%
0437 C61 , F:594, V:318, T: 82.5, 103.1%
0437 C62 , F:580, V:318, T: 80.0,  97.0%
0437 C63 , F:577, V:324, T: 79.0, 102.2%
0437 C64 , F:605, V:323, T: 81.0, 102.5%
0437 C65 , F:609, V:322, T: 82.5,  97.1%
0437 C66 , F:607, V:318, T: 81.5, 104.6%
