01-02 08:00:04 Miner M50VH80(V226-5D), MAC:CC:04:1A:00:62:45, version:20230911.12.Rel, PowerHw:RT0147, PowerSw:230224.230809, PowerSn:1436B2321600541 PCB0:BHM32X6F843721X43003 PCB1:BHM32X6F843721X43113 PCB2:BHM32X6F843721X44252
01-02 08:00:07 Code<error>[2010]: reason: All pools disabled for 2s, please check the network or pools configure.
00-02-08 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
00:31 0.0,0,21,0|0.0,0,16,0|0.0,0,16,0|780,900|5|16, 2,162|0,8,230
11-21-03 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
28:32 0.4,288,21,27|0.2,288,17,23|0.4,288,17,22|0,0|5|17,11,136|1250,1600,229
29:02 2.1,432,28,41|1.7,432,24,37|2.4,432,23,37|180,180|5|18,15,135|1252,2432,229
29:32 8.2,546,38,60|6.5,546,35,57|7.1,546,34,57|750,810|6|18, 0,135|1252,3120,229
30:02 20.4,592,51,80|19.0,590,49,78|17.8,586,48,76|1800,1860|7|18, 2,134|1253,3540,229
30:33 25.9,614,64,85|25.4,612,62,82|24.0,606,61,82|3180,3150|8|21,12,133|1252,3716,229
31:03 13.9,611,71,90|13.7,607,70,86|13.2,603,68,85|3330,3270|8|22,14,132|1252,3720,228
31:33 4.6,616,73,91|4.9,611,70,86|4.9,608,69,85|3240,3270|7|22,12,130|1252,3716,228
32:03 5.3,616,73,91|5.2,610,70,85|6.0,607,70,85|3240,3270|7|21, 4,129|1253,3704,227
32:33 5.5,614,73,91|5.5,607,70,84|5.8,606,69,85|3210,3270|7|22, 0,128|1252,3692,227
12-21 03:32:34 Code<warn>[901]: reason: Upfreq error, freq: 603/599M, power_rate 29.42W/0.00W
12-21 03:32:35 Code<warn>[571]: reason: Slot1 xfer error chip: U87 U88
12-21 03:32:37 Code<warn>[212]: reason: Power vout error, reach vout border, vout: 1252, border: [1252, 1400]
33:03 42.2,614,74,91|41.4,607,69,84|41.5,606,70,85|3060,3060|7|18, 8,128|1252,3684,227
33:34 42.2,614,74,91|41.3,607,69,84|41.5,606,70,85|3150,3240|7|20, 6,128|1253,3688,227
